Time: 2020-08-30 10:17:17.239147, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:22.247517, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:30.156650, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:35.173508, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:40.179891, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:45.190388, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:50.200155, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:55.193802, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:00.198957, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:05.204993, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:10.221647, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:15.224956, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:20.239638, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:25.261387, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:30.271464, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:35.279894, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:40.294746, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:45.311287, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:50.326994, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:18:55.343885, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:00.359557, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:05.365400, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:10.371811, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:15.365668, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:20.377089, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:25.395032, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:30.410731, Messages: 0, Members Joined: 0 
